Region,41-50,51-60,31-40,21-30,61-70,71-80,11-20,81-90,0-10,90+,People_count_all,People_count_not_vaccinated,People_count_vaccinated,People_percent_vaccinated,People_percent_not_vaccinated
Zhytomyr,52643,51160,45908,29830,40676,15126,7606,3568,11,208,610055.0,363319.0,246736.0,40.444877920843204,59.555122079156796
Poltava,72106,72748,65499,39739,56084,24213,10281,6491,14,476,848973.0,501322.0,347651.0,40.94959439228338,59.05040560771662
Kyiv City,219203,162832,271170,205860,128457,52518,45871,13500,71,452,2656592.0,1556658.0,1099934.0,41.40394911977451,58.59605088022549
Ternopil',35866,35182,37443,25795,25535,9646,6643,2726,11,230,455055.0,275978.0,179077.0,39.35282548263397,60.64717451736603
Kyiv,96975,90814,100249,58310,74528,28387,13802,6734,36,332,1153746.0,683579.0,470167.0,40.75134388331574,59.24865611668426
Volyn,34623,30382,35580,23590,21063,6638,6320,1504,8,113,397686.0,237865.0,159821.0,40.18773605306699,59.81226394693301
Chernivtsi,30169,26535,33936,24899,18846,7137,7888,2062,4,168,373672.0,222028.0,151644.0,40.58211479586375,59.41788520413625
Zaporizhzhya,65816,65878,61587,36363,54121,20368,9367,4724,8,144,787421.0,469045.0,318376.0,40.432754523945896,59.567245476054104
Khmel'nyts'kyy,49654,49098,47454,29627,39928,15331,8170,3520,42,254,600830.0,357752.0,243078.0,40.45703443569729,59.54296556430271
L'viv,99363,92113,117080,91001,68615,25246,23393,5575,50,278,1305989.0,783275.0,522714.0,40.024379990949384,59.975620009050616
Rivne,40249,34721,41919,27219,24533,8105,7136,2140,11,175,475326.0,289118.0,186208.0,39.17479792815878,60.82520207184122
Vinnytsya,60932,59182,59362,41229,45007,18602,10276,4641,18,329,726661.0,427083.0,299578.0,41.226651767467914,58.773348232532086
Transcarpathia,33473,31500,35326,23494,24173,9009,6986,1994,26,138,403328.0,237209.0,166119.0,41.18707354807997,58.81292645192003
Donets'k,66420,62176,61089,33077,49637,17394,8191,4384,18,272,728561.0,425903.0,302658.0,41.541888736838786,58.458111263161214
Kharkiv,117719,106332,119200,80578,87141,35043,21694,9687,62,588,1376795.0,798751.0,578044.0,41.98475444782992,58.01524555217008
Dnipropetrovs'k,158933,148073,159788,92954,111091,40491,25114,11833,46,777,1821814.0,1072714.0,749100.0,41.11835785651005,58.88164214348995
Mykolayiv,42716,42540,42132,26194,34814,13596,6391,3341,33,223,526363.0,314383.0,211980.0,40.272587548896865,59.727412451103135
Kherson,38992,40580,36660,22387,33396,12924,6265,2864,9,97,485864.0,291690.0,194174.0,39.96468147465134,60.03531852534866
Sumy,52217,52544,47624,27210,41791,15517,6616,3591,12,238,603068.0,355708.0,247360.0,41.01693341381071,58.98306658618929
Luhans'k,26667,26068,23866,13868,21257,8119,3679,2151,15,137,302321.0,176494.0,125827.0,41.620330708088424,58.379669291911576
Chernihiv,44510,44959,39367,22765,38858,14132,5729,2890,7,158,527500.0,314125.0,213375.0,40.45023696682465,59.54976303317535
Kirovohrad,33302,34605,29884,17469,27162,10941,4164,2169,20,95,397785.0,237974.0,159811.0,40.17522028231331,59.82477971768669
Cherkasy,53408,56605,45813,27993,48041,20813,8464,5018,12,350,650504.0,383987.0,266517.0,40.97084722000172,59.02915277999828
Odesa,96315,81238,100649,72913,59325,25139,18320,6458,28,315,1141961.0,681261.0,460700.0,40.34288386380971,59.65711613619029
Ivano-Frankivs'k,42529,42115,48720,33299,31083,11412,7674,2790,45,139,549108.0,329302.0,219806.0,40.02964808380136,59.97035191619864
